Week,Canada Goose,Wood Duck,Mallard,Hooded Merganser,Wild Turkey,Double-crested Cormorant,Great Blue Heron,Great Egret,Green Heron,Black Vulture,Turkey Vulture,Osprey,Mississippi Kite,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Accipiter sp.,Bald Eagle,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,hawk sp.,American Woodcock,Solitary Sandpiper,Rock Pigeon,Eurasian Collared-Dove,Mourning Dove,Yellow-billed Cuckoo,Barred Owl,Chimney Swift,Ruby-throated Hummingbird,Belted Kingfisher,Red-headed Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Downy Woodpecker,Hairy Woodpecker,Northern Flicker,Pileated Woodpecker,Eastern Wood-Pewee,Acadian Flycatcher,Alder/Willow Flycatcher (Traill's Flycatcher),Least Flycatcher,Empidonax sp.,Eastern Phoebe,Great Crested Flycatcher,Eastern Kingbird,Loggerhead Shrike
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,1,0.67,0.67,0,0.17,0.33,0,0,0,0,0,0.5,0,0,0
3,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0.14,0.14,0.71,0,0,0,0,0,0,0.57,0.57,0.57,0.14,0.29,0,0,0,0,0,0,0.14,0,0,0
4,0,0,0,0,0,0,0,0,0,0.18,0.36,0,0,0,0,0,0,0,0.18,0,0.09,0,0,0,0,0,0.36,0,0,0,0,0,0,0.73,0.27,0.55,0.18,0,0.09,0,0,0,0,0,0.36,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.25,0,0,0,0,0,0,0.42,0.33,0.42,0.17,0,0,0,0,0,0,0,0.17,0,0,0
6,0.38,0.08,0,0,0,0,0.23,0,0,0.08,0.15,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.15,0,0.38,0,0.08,0,0,0,0,0.46,0.23,0.77,0,0.15,0.15,0,0,0,0,0,0.38,0,0,0
7,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.5,0.1,0.3,0.1,0,0.2,0,0,0,0,0,0.3,0,0,0
8,0.31,0.08,0,0,0,0,0.08,0,0,0.08,0.31,0,0,0,0,0.08,0,0,0.31,0,0.15,0,0,0,0,0,0.46,0,0,0,0,0,0,0.54,0.46,0.77,0.08,0.23,0.15,0,0,0,0,0,0.08,0,0,0
9,0.23,0.08,0,0,0,0,0.15,0,0,0.08,0.23,0,0,0,0,0.08,0,0,0.31,0,0,0,0.08,0,0.08,0,0.46,0,0.08,0,0,0,0,0.54,0.23,0.62,0.38,0.31,0,0,0,0,0,0,0.23,0,0,0
10,0.17,0,0,0,0,0,0.08,0,0,0.08,0.17,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0.08,0,0.33,0,0,0,0,0,0,0.67,0.17,0.58,0.08,0.17,0,0,0,0,0,0,0.67,0,0,0
