"","Week","Canada.Goose","Wood.Duck","Mallard","Hooded.Merganser","Wild.Turkey","Double.crested.Cormorant","Great.Blue.Heron","Great.Egret","Green.Heron","Black.Vulture","Turkey.Vulture","Osprey","Mississippi.Kite","Northern.Harrier","Sharp.shinned.Hawk","Cooper.s.Hawk","Accipiter.sp.","Bald.Eagle","Red.shouldered.Hawk","Broad.winged.Hawk","Red.tailed.Hawk","hawk.sp.","American.Woodcock","Solitary.Sandpiper","Rock.Pigeon","Eurasian.Collared.Dove","Mourning.Dove","Yellow.billed.Cuckoo","Barred.Owl","Chimney.Swift","Ruby.throated.Hummingbird","Belted.Kingfisher","Red.headed.Woodpecker","Red.bellied.Woodpecker","Yellow.bellied.Sapsucker","Downy.Woodpecker","Hairy.Woodpecker","Northern.Flicker","Pileated.Woodpecker","Eastern.Wood.Pewee","Acadian.Flycatcher","Alder.Willow.Flycatcher..Traill.s.Flycatcher.","Least.Flycatcher","Empidonax.sp.","Eastern.Phoebe","Great.Crested.Flycatcher","Eastern.Kingbird","Loggerhead.Shrike"
"1",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,100,67,67,0,17,33,0,0,0,0,0,50,0,0,0
"3",3,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,29,0,0,0,0,0,14,14,71,0,0,0,0,0,0,57,57,57,14,29,0,0,0,0,0,0,14,0,0,0
"4",4,0,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,36,0,0,0,0,0,0,73,27,55,18,0,9,0,0,0,0,0,36,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,0,0,0,0,0,42,33,42,17,0,0,0,0,0,0,0,17,0,0,0
"6",6,38,8,0,0,0,0,23,0,0,8,15,0,0,0,0,0,0,0,23,0,0,0,0,0,15,0,38,0,8,0,0,0,0,46,23,77,0,15,15,0,0,0,0,0,38,0,0,0
"7",7,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,50,10,30,10,0,20,0,0,0,0,0,30,0,0,0
"8",8,31,8,0,0,0,0,8,0,0,8,31,0,0,0,0,8,0,0,31,0,15,0,0,0,0,0,46,0,0,0,0,0,0,54,46,77,8,23,15,0,0,0,0,0,8,0,0,0
"9",9,23,8,0,0,0,0,15,0,0,8,23,0,0,0,0,8,0,0,31,0,0,0,8,0,8,0,46,0,8,0,0,0,0,54,23,62,38,31,0,0,0,0,0,0,23,0,0,0
"10",10,17,0,0,0,0,0,8,0,0,8,17,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,33,0,0,0,0,0,0,67,17,58,8,17,0,0,0,0,0,0,67,0,0,0
"11",11,24,6,24,0,0,0,18,0,0,24,47,0,0,0,0,6,0,0,53,0,12,0,0,0,6,0,65,0,0,0,0,6,0,100,41,71,12,35,29,0,0,0,0,0,47,0,0,0
"12",12,26,7,4,0,4,0,19,0,0,15,44,11,0,4,0,0,0,4,33,11,15,0,0,0,4,7,52,0,0,0,4,4,7,59,22,74,19,15,41,0,0,0,0,0,33,0,0,0
"13",13,14,0,0,0,0,0,0,0,0,14,21,0,0,0,0,7,0,0,29,7,14,0,0,0,7,0,43,0,7,7,14,0,0,86,14,71,0,7,21,0,0,0,0,0,36,0,0,0
"14",14,29,6,6,0,0,6,18,0,0,0,47,0,0,0,0,0,0,0,29,6,6,0,0,0,6,0,29,0,6,0,12,12,0,82,0,65,6,0,6,0,0,0,0,0,18,18,0,0
"15",15,28,17,0,0,0,0,17,0,0,28,33,0,0,6,0,0,0,0,33,17,17,0,0,6,0,0,44,0,11,22,33,6,0,67,6,39,17,0,28,0,0,0,0,0,22,28,6,0
"16",16,12,28,0,0,0,0,32,0,4,16,36,0,0,0,4,4,0,0,28,12,24,0,0,0,8,0,48,8,8,8,28,8,0,68,0,44,24,4,24,8,28,0,0,0,28,48,12,0
